lemma,definition,type,llm_templates
ozaawakamigaa,it is a brown or yellowish landscape,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a brown or yellowish landscape']}"
gwayakogamaa,it is a straight lake,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a straight lake']}"
dakamaakwaa,there are trees extending across ahead,vii,"{'verbs': ['be'], 'templates': ['there be trees extending across ahead']}"
apiichigaa,"it drips, leaks at a certain speed",vii,"{'verbs': ['drip', 'leak'], 'templates': ['{{subject}} drip', '{{subject}} leak at a certain speed']}"
aazhawakamigaa,"it (the ground) goes across, is an isthmus",vii,"{'verbs': ['go', 'be'], 'templates': ['{{subject}} (the ground) go across', '{{subject}} (the ground) be an isthmus']}"
baakibii'an,ice clears off the lake,vii,"{'verbs': ['clear'], 'templates': ['{{subject}} (ice) clear off the lake']}"
nookaabaawe,it is or gets soft from being in water or the rain,vii,"{'verbs': ['be', 'get'], 'templates': ['{{subject}} be soft from being in water or the rain', '{{subject}} get soft from being in water or the rain']}"
midaaso-anama'e-giizhikwagad,it is ten weeks,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be ten weeks']}"
minwendaagwad,"it is likeable, is fun",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be likeable', '{{subject}} be fun']}"
biimigwaade,it is sewn crooked,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be sewn crooked']}"
boonigin,"it stops growing, quits growing",vii,"{'verbs': ['stop', 'quit'], 'templates': ['{{subject}} stop growing', '{{subject}} quit growing']}"
ozaawaatese,it flashes yellow,vii,"{'verbs': ['flash', 'be'], 'templates': ['{{subject}} flash yellow', '{{subject}} be yellow']}"
apiichijiishkiwagad,"it (mud) is of such a thickness, is so thick",vii,"{'verbs': ['be'], 'templates': ['{{subject}} (mud) be of such a thickness', '{{subject}} (mud) be so thick']}"
bimaashkaa,waves go by,vii,"{'verbs': ['go'], 'templates': ['{{subject}} go by']}"
ozaawaabiigad,it (string-like) is yellow or brown,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (string-like) be yellow or brown']}"
apiitaginde,it has so high a price,vii,"{'verbs': ['have'], 'templates': ['{{subject}} have so high a price']}"
inwewe,it makes a certain noise,vii,"{'verbs': ['make'], 'templates': ['{{subject}} make a certain noise']}"
bimaanimad,the winds blows along,vii,"{'verbs': ['blow'], 'templates': ['the {{subject}} blow along']}"
gizhiiyaadigose,the rapids are flowing fast,vii,"{'verbs': ['be'], 'templates': ['the {{subject}} (rapids) be flowing fast']}"
agaasadetigweyaa,it (a river) is narrow,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (a river) be narrow']}"
gijigikozo,it (animate) is carved zigzag or rippled,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (animate) be carved zigzag or rippled']}"
minjimishkoode,"it is pinned down, held in place (with weight)",vii,"{'verbs': ['be', 'hold'], 'templates': ['{{subject}} be pinned down (with weight)', '{{subject}} be held in place (with weight)']}"
waasese,there is a flash of lightning,vii,"{'verbs': ['be'], 'templates': ['there be a flash of lightning']}"
wewebaasin,"it is blown back and forth (by the wind), flutters, flaps",vii,"{'verbs': ['be', 'flutter', 'flap'], 'templates': ['{{subject}} be blown back and forth (by the wind)', '{{subject}} flutter', '{{subject}} flap']}"
zhooshkwaakwad,it is smooth (as something stick- or wood-like),vii,"{'verbs': ['be'], 'templates': ['{{subject}} be smooth (as something stick- or wood-like)']}"
