lemma,definition,type,llm_templates
biindigeba'iwaazh,run inside to get away from h/,vta,"{'verbs': ['run'], 'templates': ['{{subject}} run inside to get away from {{object}}']}"
ginibam,eat it (animate) quickly,vta,"{'verbs': ['eat'], 'templates': ['{{subject}} eat {{object}} (animate) quickly']}"
diba'amaw,"pay h/ for (it), pay (it) to him",vta,"{'verbs': ['pay', 'pay'], 'templates': ['{{subject}} pay {{object}} for (it)', '{{subject}} pay (it) to him']}"
mitigwaabiikaw,make a bow for h/,vta,"{'verbs': ['make'], 'templates': ['{{subject}} make a bow for {{object}}']}"
bagwa'amaw,patch (it) for h/,vta,"{'verbs': ['patch'], 'templates': ['{{subject}} patch (it) for {{object}}']}"
agwaa',"take it (animate) off the water or fire (using something), take it (animate) out of the pot (using something), dip or scoop it (animate) out",vta,"{'verbs': ['take', 'take', 'dip', 'scoop'], 'templates': ['{{subject}} take {{object}} off the water or fire (using something)', '{{subject}} take {{object}} out of the pot (using something)', '{{subject}} dip {{object}} out', '{{subject}} scoop {{object}} out']}"
daniz,cook it (animate) in a certain place,vta,"{'verbs': ['cook'], 'templates': ['{{subject}} cook {{object}} (animate) in a certain place']}"
bishigoshkaw,miss h/ with foot or body,vta,"{'verbs': ['miss'], 'templates': ['{{subject}} miss {{object}} with foot or body']}"
ningagwinjim,thaw it (animate) in the water,vta,"{'verbs': ['thaw'], 'templates': ['{{subject}} thaw {{object}} (animate) in the water']}"
niibide'oozh,string them (animate) in in a row,vta,"{'verbs': ['string'], 'templates': ['{{subject}} string {{object}} in a row']}"
agwana',cover h/,vta,"{'verbs': ['cover'], 'templates': ['{{subject}} cover {{object}}']}"
aadawa'am,go with h/ in a boat,vta,"{'verbs': ['go'], 'templates': ['{{subject}} go with {{object}} in a boat']}"
abwaazh,"roast, cook h/ over a fire",vta,"{'verbs': ['roast', 'cook'], 'templates': ['{{subject}} roast {{object}} over a fire', '{{subject}} cook {{object}} over a fire']}"
giziidoone',wipe h/ mouth,vta,"{'verbs': ['wipe'], 'templates': ['{{subject}} wipe {{object}} mouth']}"
niimaakwa',pick it (animate) up or hold it (animate) out with something stick-like,vta,"{'verbs': ['pick', 'hold'], 'templates': ['{{subject}} pick {{object}} up', '{{subject}} hold {{object}} out with something stick-like']}"
zaakwaazh,cheer for h/; yell at h/,vta,"{'verbs': ['cheer', 'yell'], 'templates': ['{{subject}} cheer for {{object}}', '{{subject}} yell at {{object}}']}"
ozhi-ayaaw,get h/ ready; prepare h/,vta,"{'verbs': ['get', 'prepare'], 'templates': ['{{subject}} get {{object}} ready', '{{subject}} prepare {{object}}']}"
waabam,see h/,vta,"{'verbs': ['see'], 'templates': ['{{subject}} see {{object}}']}"
wiikwaabiigin,pull h/ with a rope,vta,"{'verbs': ['pull'], 'templates': ['{{subject}} pull {{object}} with a rope']}"
